,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,92
1,2013,7,2538
2,2013,8,4359
3,2013,9,3997
4,2013,10,2909
5,2013,11,1636
6,2013,12,761
7,2014,1,416
8,2014,2,522
9,2014,3,1270
10,2014,4,3081
11,2014,5,4968
12,2014,6,6288
13,2014,7,7340
14,2014,8,6907
15,2014,9,5308
16,2014,10,4046
17,2014,11,2085
18,2014,12,1659
19,2015,1,1165
20,2015,2,740
21,2015,3,2076
22,2015,4,3035
23,2015,5,4780
24,2015,6,5881
25,2015,7,7366
26,2015,8,6648
27,2015,9,6172
28,2015,10,4970
29,2015,11,3152
30,2015,12,2028
31,2016,1,1728
32,2016,2,2119
33,2016,3,3238
34,2016,4,3340
35,2016,5,5204
36,2016,6,6661
37,2016,7,7032
38,2016,8,6873
39,2016,9,6129
40,2016,10,4754
41,2016,11,3795
42,2016,12,1766
