,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,6
1,2013,8,703
2,2013,9,848
3,2013,10,686
4,2013,11,435
5,2013,12,216
6,2014,1,155
7,2014,2,181
8,2014,3,292
9,2014,4,572
10,2014,5,842
11,2014,6,900
12,2014,7,1055
13,2014,8,994
14,2014,9,922
15,2014,10,886
16,2014,11,541
17,2014,12,404
18,2015,1,226
19,2015,2,120
20,2015,3,349
21,2015,4,510
22,2015,5,662
23,2015,6,962
24,2015,7,1043
25,2015,8,1130
26,2015,9,843
27,2015,10,788
28,2015,11,409
29,2015,12,297
30,2016,1,256
31,2016,2,314
32,2016,3,455
33,2016,4,556
34,2016,5,761
35,2016,6,904
36,2016,7,952
37,2016,8,1017
38,2016,9,1052
39,2016,10,909
40,2016,11,709
41,2016,12,334
