,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,104
1,2013,9,210
2,2013,10,248
3,2013,11,133
4,2013,12,49
5,2014,1,30
6,2014,2,11
7,2014,3,55
8,2014,4,92
9,2014,5,188
10,2014,6,252
11,2014,7,368
12,2014,8,311
13,2014,9,271
14,2014,10,223
15,2014,11,147
16,2014,12,105
17,2015,1,60
18,2015,2,33
19,2015,3,123
20,2015,4,208
21,2015,5,261
22,2015,6,209
23,2015,7,232
24,2015,8,298
25,2015,9,286
26,2015,10,205
27,2015,11,212
28,2015,12,141
29,2016,1,111
30,2016,2,104
31,2016,3,199
32,2016,4,180
33,2016,5,216
34,2016,6,279
35,2016,7,335
36,2016,8,340
37,2016,9,277
38,2016,10,191
39,2016,11,129
40,2016,12,73
