,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,64
1,2013,8,860
2,2013,9,976
3,2013,10,792
4,2013,11,339
5,2013,12,161
6,2014,1,171
7,2014,2,197
8,2014,3,375
9,2014,4,698
10,2014,5,1091
11,2014,6,1500
12,2014,7,1808
13,2014,8,1517
14,2014,9,1226
15,2014,10,988
16,2014,11,538
17,2014,12,436
18,2015,1,346
19,2015,2,161
20,2015,3,514
21,2015,4,777
22,2015,5,1171
23,2015,6,1529
24,2015,7,1928
25,2015,8,2125
26,2015,9,1674
27,2015,10,1289
28,2015,11,827
29,2015,12,543
30,2016,1,442
31,2016,2,515
32,2016,3,811
33,2016,4,910
34,2016,5,1264
35,2016,6,1773
36,2016,7,1661
37,2016,8,1665
38,2016,9,1540
39,2016,10,1085
40,2016,11,773
41,2016,12,312
