,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,6,0.9667523552452728
1,2013,7,1.5533329748158815
2,2013,8,1.651636287204959
3,2013,9,1.6358249062816994
4,2013,10,1.5411876008775267
5,2013,11,1.4517491588780627
6,2013,12,1.2995095367905947
7,2014,1,1.2477915987742392
8,2014,2,1.0829723822594155
9,2014,3,1.3915307931063794
10,2014,4,1.3801196466330339
11,2014,5,1.447822030968902
12,2014,6,1.5076577691909954
13,2014,7,1.4812992375691012
14,2014,8,1.4364095341664458
15,2014,9,1.4288453890480757
16,2014,10,1.5091986363935765
17,2014,11,1.3941989450279604
18,2014,12,1.3641293539787755
19,2015,1,1.2629102909692307
20,2015,2,0.8744531998722832
21,2015,3,1.3627583979581397
22,2015,4,1.3900560753726365
23,2015,5,1.519648293924462
24,2015,6,1.5195290617512835
25,2015,7,1.5384920837035676
26,2015,8,1.522566889636686
27,2015,9,1.4385765866390587
28,2015,10,1.4158060822474745
29,2015,11,1.406299793056836
30,2015,12,1.4713746098689617
31,2016,1,1.2737018028202653
32,2016,2,1.4381610013332558
33,2016,3,1.4546551540566919
34,2016,4,1.4505903644506883
35,2016,5,1.4333768895564822
36,2016,6,1.455234365977821
37,2016,7,1.4995642079386642
38,2016,8,1.421860607528368
39,2016,9,1.3860166435390577
40,2016,10,1.3888749999111483
41,2016,11,1.4264779967794117
42,2016,12,1.3006451297013393
