,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,238
1,2013,8,1756
2,2013,9,2042
3,2013,10,1719
4,2013,11,996
5,2013,12,640
6,2014,1,373
7,2014,2,467
8,2014,3,930
9,2014,4,1689
10,2014,5,2309
11,2014,6,2724
12,2014,7,3430
13,2014,8,3491
14,2014,9,3508
15,2014,10,3221
16,2014,11,1876
17,2014,12,1446
18,2015,1,1071
19,2015,2,622
20,2015,3,1578
21,2015,4,1761
22,2015,5,2745
23,2015,6,3422
24,2015,7,3891
25,2015,8,3811
26,2015,9,3370
27,2015,10,2915
28,2015,11,1982
29,2015,12,1308
30,2016,1,907
31,2016,2,1157
32,2016,3,1679
33,2016,4,1878
34,2016,5,2501
35,2016,6,3561
36,2016,7,3414
37,2016,8,3587
38,2016,9,3547
39,2016,10,2977
40,2016,11,2413
41,2016,12,1053
