,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,15
1,2013,7,252
2,2013,8,1166
3,2013,9,2046
4,2013,10,954
5,2013,11,494
6,2013,12,300
7,2014,1,136
8,2014,2,137
9,2014,3,464
10,2014,4,1244
11,2014,5,2460
12,2014,6,3007
13,2014,7,3472
14,2014,8,3215
15,2014,9,2416
16,2014,10,1713
17,2014,11,548
18,2014,12,804
19,2015,1,603
20,2015,2,308
21,2015,3,837
22,2015,4,1369
23,2015,5,1974
24,2015,6,2617
25,2015,7,3501
26,2015,8,3270
27,2015,9,2639
28,2015,10,1626
29,2015,11,1077
30,2015,12,706
31,2016,1,542
32,2016,2,623
33,2016,3,943
34,2016,4,1290
35,2016,5,2127
36,2016,6,2815
37,2016,7,3045
38,2016,8,2814
39,2016,9,2467
40,2016,10,1828
41,2016,11,1292
42,2016,12,465
