,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,4,1.2175919442642846
1,2015,5,1.5066413657877227
2,2015,6,1.480490392740113
3,2015,7,1.586086340081725
4,2015,8,1.7040102533967831
5,2015,9,1.5179823346984582
6,2015,10,1.6668774724962152
7,2015,11,1.8606415479727019
8,2015,12,1.7276516845096979
9,2016,1,1.5594650842230124
10,2016,2,1.649971226178115
11,2016,3,1.6584512126847328
12,2016,4,1.5536031432303752
13,2016,5,1.6493890240190234
14,2016,6,1.7501029147456075
15,2016,7,1.7152344737497427
16,2016,8,1.6802168188884017
17,2016,9,1.702060543324187
18,2016,10,1.564085713160062
19,2016,11,1.7397553761945839
20,2016,12,1.6452833121303372
