,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,93
1,2013,7,790
2,2013,8,1199
3,2013,9,1118
4,2013,10,960
5,2013,11,446
6,2013,12,201
7,2014,1,126
8,2014,2,119
9,2014,3,303
10,2014,4,733
11,2014,5,1241
12,2014,6,1580
13,2014,7,1554
14,2014,8,1503
15,2014,9,1360
16,2014,10,1237
17,2014,11,602
18,2014,12,380
19,2015,1,312
20,2015,2,139
21,2015,3,613
22,2015,4,894
23,2015,5,1416
24,2015,6,1665
25,2015,7,1807
26,2015,8,1701
27,2015,9,1574
28,2015,10,1368
29,2015,11,712
30,2015,12,369
31,2016,1,317
32,2016,2,484
33,2016,3,795
34,2016,4,955
35,2016,5,1365
36,2016,6,1783
37,2016,7,1934
38,2016,8,1919
39,2016,9,1838
40,2016,10,1846
41,2016,11,1210
42,2016,12,352
