,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,10,40
1,2013,11,272
2,2013,12,133
3,2014,1,103
4,2014,2,88
5,2014,3,188
6,2014,4,422
7,2014,5,795
8,2014,6,1104
9,2014,7,1163
10,2014,8,1169
11,2014,9,1074
12,2014,10,878
13,2014,11,519
14,2014,12,420
15,2015,1,273
16,2015,2,134
17,2015,3,442
18,2015,4,646
19,2015,5,814
20,2015,6,1098
21,2015,7,805
22,2015,8,1484
23,2015,9,1307
24,2015,10,970
25,2015,11,585
26,2015,12,341
27,2016,1,286
28,2016,2,348
29,2016,3,571
30,2016,4,596
31,2016,5,1054
32,2016,6,1298
33,2016,7,1253
34,2016,8,1461
35,2016,9,1409
36,2016,10,1158
37,2016,11,868
38,2016,12,326
