,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,2
1,2013,8,7
2,2013,9,36
3,2013,10,404
4,2013,11,286
5,2013,12,89
6,2014,1,42
7,2014,2,53
8,2014,3,131
9,2014,4,422
10,2014,5,635
11,2014,6,973
12,2014,7,960
13,2014,8,803
14,2014,9,712
15,2014,10,558
16,2014,11,310
17,2014,12,196
18,2015,1,149
19,2015,2,126
20,2015,3,304
21,2015,4,435
22,2015,5,606
23,2015,6,907
24,2015,7,905
25,2015,8,962
26,2015,9,918
27,2015,10,758
28,2015,11,427
29,2015,12,272
30,2016,1,151
31,2016,2,218
32,2016,3,356
33,2016,4,395
34,2016,5,611
35,2016,6,879
36,2016,7,792
37,2016,8,846
38,2016,9,842
39,2016,10,705
40,2016,11,448
41,2016,12,208
