,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,10,361
1,2013,11,503
2,2013,12,312
3,2014,1,128
4,2014,2,104
5,2014,3,341
6,2014,4,943
7,2014,5,1487
8,2014,6,1676
9,2014,7,2173
10,2014,8,2059
11,2014,9,1673
12,2014,10,1487
13,2014,11,1008
14,2014,12,786
15,2015,1,577
16,2015,2,408
17,2015,3,992
18,2015,4,1394
19,2015,5,1923
20,2015,6,2434
21,2015,7,2737
22,2015,8,3005
23,2015,9,3166
24,2015,10,2694
25,2015,11,1822
26,2015,12,1217
27,2016,1,952
28,2016,2,1026
29,2016,3,1594
30,2016,4,1888
31,2016,5,2540
32,2016,6,3136
33,2016,7,3068
34,2016,8,3198
35,2016,9,3107
36,2016,10,2648
37,2016,11,2017
38,2016,12,943
