,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,132
1,2013,10,206
2,2013,11,94
3,2013,12,51
4,2014,1,31
5,2014,2,31
6,2014,3,73
7,2014,4,303
8,2014,5,582
9,2014,6,562
10,2014,7,872
11,2014,8,479
12,2014,9,334
13,2014,10,264
14,2014,11,100
15,2014,12,52
16,2015,1,35
17,2015,2,10
18,2015,3,85
19,2015,4,283
20,2015,5,463
21,2015,6,590
22,2015,7,969
23,2015,8,646
24,2015,9,476
25,2015,10,267
26,2015,11,114
27,2015,12,46
28,2016,1,34
29,2016,2,60
30,2016,3,137
31,2016,4,213
32,2016,5,412
33,2016,6,559
34,2016,7,368
35,2016,8,458
36,2016,9,655
37,2016,10,452
38,2016,11,318
39,2016,12,99
