,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,5,16.834939759036143
1,2015,6,16.016557197591705
2,2015,7,13.542637091805304
3,2015,8,14.16132930513593
4,2015,9,13.465798359864941
5,2015,10,11.403221564760031
6,2015,11,11.25262626262627
7,2015,12,13.809722222222232
8,2016,1,17.333838383838376
9,2016,2,14.659841954022998
10,2016,3,10.275044091710757
11,2016,4,12.43796046720575
12,2016,5,12.911320132013197
13,2016,6,14.711261261261265
14,2016,7,16.39782732990279
15,2016,8,11.22612612612613
16,2016,9,12.559074074074069
17,2016,10,11.452308665401647
18,2016,11,11.028597252349963
19,2016,12,9.930762852404648
