,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,209
1,2013,9,501
2,2013,10,261
3,2013,11,106
4,2013,12,107
5,2014,1,59
6,2014,2,50
7,2014,3,125
8,2014,4,278
9,2014,5,538
10,2014,6,670
11,2014,7,694
12,2014,8,627
13,2014,9,456
14,2014,10,408
15,2014,11,201
16,2014,12,113
17,2015,1,115
18,2015,2,54
19,2015,3,179
20,2015,4,157
21,2015,5,450
22,2015,6,793
23,2015,7,859
24,2015,8,773
25,2015,9,584
26,2015,10,597
27,2015,11,317
28,2015,12,207
29,2016,1,110
30,2016,2,164
31,2016,3,302
32,2016,4,333
33,2016,5,494
34,2016,6,703
35,2016,7,577
36,2016,8,659
37,2016,9,535
38,2016,10,461
39,2016,11,280
40,2016,12,111
