,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,8,1.6280772000455315
1,2013,9,1.58902763922184
2,2013,10,1.5962488108382487
3,2013,11,1.3966133001371563
4,2013,12,1.123522588376663
5,2014,1,1.0369841510897526
6,2014,2,1.1484530833219389
7,2014,3,1.3076878472916738
8,2014,4,1.364918560476178
9,2014,5,1.483338876819873
10,2014,6,1.4512448096496504
11,2014,7,1.4395580047478413
12,2014,8,1.415581912591449
13,2014,9,1.4547034034996607
14,2014,10,1.4129612723544118
15,2014,11,1.358747496683735
16,2014,12,1.2906651475746098
17,2015,1,1.3248850458803545
18,2015,2,1.5548170384378415
19,2015,3,1.448575784837924
20,2015,4,1.4372143411585123
21,2015,5,1.481252494174537
22,2015,6,1.4874052227994994
23,2015,7,1.4577592628371667
24,2015,8,1.4839839863613886
25,2015,9,1.4912432213843658
26,2015,10,1.5230769110861615
27,2015,11,1.4726403014861813
28,2015,12,1.4040489268602063
29,2016,1,1.4837795440097532
30,2016,2,1.5248810130096917
31,2016,3,1.5275355236433028
32,2016,4,1.5846315468135608
33,2016,5,1.5152092905552277
34,2016,6,1.5224629823153377
35,2016,7,1.454660003286006
36,2016,8,1.4375007848497938
37,2016,9,1.4679483487780223
38,2016,10,1.5053635365485059
39,2016,11,1.4768382724025757
40,2016,12,1.5569915088057062
