,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,9,1.4266365823618599
1,2013,10,1.51172552182596
2,2013,11,1.3530158103102867
3,2013,12,1.1184671744751256
4,2014,1,0.9808571757918741
5,2014,2,0.7542834260042969
6,2014,3,1.4788875532164856
7,2014,4,1.3400019419320077
8,2014,5,1.5163942029632658
9,2014,6,1.467085477555441
10,2014,7,1.6360538171184857
11,2014,8,1.536632112094405
12,2014,9,1.5711708867878775
13,2014,10,1.313495409950324
14,2014,11,1.0925556437614936
15,2014,12,1.1527355453062
16,2015,1,1.3593701061501402
17,2015,2,1.5178606319347823
18,2015,3,1.5054148151193127
19,2015,4,1.4328237546998026
20,2015,5,1.4773613280182167
21,2015,6,1.4340339915196878
22,2015,7,1.4939775664038435
23,2015,8,1.4507820165793854
24,2015,9,1.398361233729605
25,2015,10,1.3143645151353751
26,2015,11,1.3457772085279671
27,2015,12,1.1471343935680771
28,2016,1,1.053340586899213
29,2016,2,1.2829437684596425
30,2016,3,1.3619910899799013
31,2016,4,1.3697803047036086
32,2016,5,1.5132032435249703
33,2016,6,1.543160289864938
34,2016,7,1.4560511443989559
35,2016,8,1.4865138577730028
36,2016,9,1.3069667386159871
37,2016,10,1.3117549542157283
38,2016,11,1.131776196073194
39,2016,12,1.018434496004301
