,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,205
1,2013,10,1020
2,2013,11,542
3,2013,12,283
4,2014,1,156
5,2014,2,140
6,2014,3,391
7,2014,4,1070
8,2014,5,1822
9,2014,6,2174
10,2014,7,2808
11,2014,8,2674
12,2014,9,1894
13,2014,10,1541
14,2014,11,793
15,2014,12,534
16,2015,1,383
17,2015,2,208
18,2015,3,746
19,2015,4,1108
20,2015,5,2140
21,2015,6,2795
22,2015,7,3603
23,2015,8,2992
24,2015,9,2508
25,2015,10,1907
26,2015,11,1189
27,2015,12,700
28,2016,1,556
29,2016,2,673
30,2016,3,1035
31,2016,4,1274
32,2016,5,2178
33,2016,6,3064
34,2016,7,3114
35,2016,8,2669
36,2016,9,2709
37,2016,10,2328
38,2016,11,1504
39,2016,12,474
