,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,205
1,2013,10,631
2,2013,11,385
3,2013,12,182
4,2014,1,111
5,2014,2,100
6,2014,3,260
7,2014,4,588
8,2014,5,962
9,2014,6,1158
10,2014,7,1386
11,2014,8,1360
12,2014,9,1150
13,2014,10,870
14,2014,11,473
15,2014,12,412
16,2015,1,366
17,2015,2,228
18,2015,3,498
19,2015,4,660
20,2015,5,1010
21,2015,6,1234
22,2015,7,1544
23,2015,8,1614
24,2015,9,1461
25,2015,10,1225
26,2015,11,810
27,2015,12,563
28,2016,1,385
29,2016,2,456
30,2016,3,604
31,2016,4,829
32,2016,5,1082
33,2016,6,1491
34,2016,7,1438
35,2016,8,1363
36,2016,9,1219
37,2016,10,1322
38,2016,11,834
39,2016,12,425
