,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,4,1.965726933483865
1,2015,5,1.5184343693124227
2,2015,6,1.5198141130382679
3,2015,7,1.486805172189789
4,2015,8,1.5382937752867236
5,2015,9,1.5561203959574104
6,2015,10,1.4934070426811552
7,2015,11,1.3946674328233035
8,2015,12,1.512769089904497
9,2016,1,1.4339283599736632
10,2016,2,1.3523725522480312
11,2016,3,1.6167123576662177
12,2016,4,1.4945449332231522
13,2016,5,1.5553190907435965
14,2016,6,1.654186064055963
15,2016,7,1.5554822338109104
16,2016,8,1.5050740402479765
17,2016,9,1.4967122441914515
18,2016,10,1.355080473549913
19,2016,11,1.328946832779175
20,2016,12,1.2320055630473843
