,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,1415
1,2013,9,2937
2,2013,10,2737
3,2013,11,1417
4,2013,12,758
5,2014,1,330
6,2014,2,405
7,2014,3,1041
8,2014,4,2404
9,2014,5,3688
10,2014,6,4637
11,2014,7,4986
12,2014,8,5583
13,2014,9,4548
14,2014,10,3886
15,2014,11,1852
16,2014,12,1684
17,2015,1,982
18,2015,2,618
19,2015,3,1473
20,2015,4,2343
21,2015,5,3745
22,2015,6,5052
23,2015,7,6046
24,2015,8,5778
25,2015,9,5137
26,2015,10,3956
27,2015,11,2472
28,2015,12,1754
29,2016,1,1441
30,2016,2,1644
31,2016,3,2466
32,2016,4,2796
33,2016,5,4576
34,2016,6,5363
35,2016,7,6068
36,2016,8,5884
37,2016,9,5525
38,2016,10,4568
39,2016,11,2941
40,2016,12,1535
