,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,400
1,2013,9,448
2,2013,10,309
3,2013,11,112
4,2013,12,59
5,2014,1,30
6,2014,2,37
7,2014,3,84
8,2014,4,194
9,2014,5,484
10,2014,6,537
11,2014,7,772
12,2014,8,480
13,2014,9,440
14,2014,10,342
15,2014,11,148
16,2014,12,101
17,2015,1,71
18,2015,2,27
19,2015,3,133
20,2015,4,282
21,2015,5,345
22,2015,6,485
23,2015,7,606
24,2015,8,621
25,2015,9,623
26,2015,10,546
27,2015,11,320
28,2015,12,163
29,2016,1,108
30,2016,2,105
31,2016,3,159
32,2016,4,344
33,2016,5,459
34,2016,6,422
35,2016,7,622
36,2016,8,585
37,2016,9,652
38,2016,10,514
39,2016,11,416
40,2016,12,120
