,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,134
1,2013,7,3490
2,2013,8,3895
3,2013,9,3274
4,2013,10,2879
5,2013,11,1631
6,2013,12,884
7,2014,1,536
8,2014,2,614
9,2014,3,1383
10,2014,4,2665
11,2014,5,4208
12,2014,6,4766
13,2014,7,5989
14,2014,8,5603
15,2014,9,4842
16,2014,10,3272
17,2014,11,2088
18,2014,12,1565
19,2015,1,1086
20,2015,2,731
21,2015,3,1825
22,2015,4,2840
23,2015,5,4030
24,2015,6,4783
25,2015,7,5732
26,2015,8,5459
27,2015,9,4469
28,2015,10,3889
29,2015,11,2410
30,2015,12,1469
31,2016,1,1198
32,2016,2,1408
33,2016,3,2281
34,2016,4,2440
35,2016,5,3760
36,2016,6,4855
37,2016,7,4882
38,2016,8,4831
39,2016,9,4532
40,2016,10,3603
41,2016,11,2774
42,2016,12,1194
