,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,100
1,2013,7,2104
2,2013,8,3056
3,2013,9,2944
4,2013,10,2644
5,2013,11,1382
6,2013,12,645
7,2014,1,335
8,2014,2,467
9,2014,3,931
10,2014,4,1787
11,2014,5,3247
12,2014,6,3490
13,2014,7,4148
14,2014,8,3921
15,2014,9,3378
16,2014,10,2780
17,2014,11,1535
18,2014,12,1224
19,2015,1,780
20,2015,2,578
21,2015,3,1399
22,2015,4,1985
23,2015,5,2906
24,2015,6,3656
25,2015,7,4020
26,2015,8,4172
27,2015,9,4082
28,2015,10,3317
29,2015,11,2058
30,2015,12,1318
31,2016,1,1112
32,2016,2,1213
33,2016,3,1917
34,2016,4,2235
35,2016,5,3262
36,2016,6,3983
37,2016,7,4288
38,2016,8,4060
39,2016,9,3773
40,2016,10,3332
41,2016,11,2463
42,2016,12,1061
