,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,578
1,2013,10,1421
2,2013,11,699
3,2013,12,323
4,2014,1,185
5,2014,2,175
6,2014,3,450
7,2014,4,1030
8,2014,5,2252
9,2014,6,2571
10,2014,7,3565
11,2014,8,3415
12,2014,9,2543
13,2014,10,2356
14,2014,11,923
15,2014,12,765
16,2015,1,409
17,2015,2,239
18,2015,3,816
19,2015,4,1551
20,2015,5,2010
21,2015,6,2922
22,2015,7,3457
23,2015,8,3025
24,2015,9,3004
25,2015,10,2165
26,2015,11,1307
27,2015,12,652
28,2016,1,663
29,2016,2,800
30,2016,3,1218
31,2016,4,1484
32,2016,5,2144
33,2016,6,3117
34,2016,7,3098
35,2016,8,3177
36,2016,9,3019
37,2016,10,2522
38,2016,11,1637
39,2016,12,726
