,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,10,1.5008058997615064
1,2013,11,1.4880772182781707
2,2013,12,1.450472373468269
3,2014,1,1.3747698656578184
4,2014,2,1.2151713171229102
5,2014,3,1.3893586837315886
6,2014,4,1.5239807921244966
7,2014,5,1.5471172391227157
8,2014,6,1.5447463686197072
9,2014,7,1.539206880592756
10,2014,8,1.5663357651943928
11,2014,9,1.642452773876282
12,2014,10,1.748940725144058
13,2014,11,1.811605679304704
14,2014,12,1.9475569475372807
15,2015,1,1.708559141947549
16,2015,2,1.2602778385292168
17,2015,3,1.6362784350471558
18,2015,4,1.5657271540689963
19,2015,5,1.6598620785240707
20,2015,6,1.6543578586878682
21,2015,7,1.6447822360590496
22,2015,8,1.7007438774049637
23,2015,9,1.6970561326785003
24,2015,10,1.8106545860251546
25,2015,11,1.8043355876823859
26,2015,12,1.6699546550654871
27,2016,1,1.449976814817793
28,2016,2,1.581285518194155
29,2016,3,1.7523238945733115
30,2016,4,1.7264947798260446
31,2016,5,1.6829387527183286
32,2016,6,1.755601869009272
33,2016,7,1.6569347250441835
34,2016,8,1.6779203360945605
35,2016,9,1.768561348837777
36,2016,10,1.7791240465247287
37,2016,11,1.8290068093633223
38,2016,12,1.6596296438815101
