,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,10,952
1,2013,11,369
2,2013,12,99
3,2014,1,38
4,2014,2,37
5,2014,3,251
6,2014,4,986
7,2014,5,1862
8,2014,6,2412
9,2014,7,2563
10,2014,8,2679
11,2014,9,1711
12,2014,10,1153
13,2014,11,426
14,2014,12,252
15,2015,1,168
16,2015,2,95
17,2015,3,505
18,2015,4,1017
19,2015,5,1833
20,2015,6,2482
21,2015,7,2979
22,2015,8,2593
23,2015,9,1908
24,2015,10,1179
25,2015,11,683
26,2015,12,381
27,2016,1,168
28,2016,2,344
29,2016,3,772
30,2016,4,1052
31,2016,5,2074
32,2016,6,3110
33,2016,7,3029
34,2016,8,2658
35,2016,9,2097
36,2016,10,1564
37,2016,11,816
38,2016,12,185
