,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,6,1.4508393134606605
1,2013,7,1.6185185506226396
2,2013,8,1.5834103204273697
3,2013,9,1.5388584977333575
4,2013,10,1.6154546332865007
5,2013,11,1.5639717950610295
6,2013,12,1.4992114568879256
7,2014,1,1.8007504081253716
8,2014,2,1.3792924967374194
9,2014,3,1.4186417640149265
10,2014,4,1.5329072540814295
11,2014,5,1.4530499854261467
12,2014,6,1.4316877935865457
13,2014,7,1.4635672304629004
14,2014,8,1.2862360520450689
15,2014,9,1.3956937748809135
16,2014,10,1.4763130648981746
17,2014,11,1.5285168494088355
18,2014,12,1.2724804722990328
19,2015,1,1.3425742225244996
20,2015,2,0.9121677864470962
21,2015,3,1.2401913671756783
22,2015,4,1.3010876782201084
23,2015,5,1.1655593852681276
24,2015,6,1.229196175769073
25,2015,7,1.2012501715383486
26,2015,8,1.1916141935440663
27,2015,9,1.187791020425163
28,2015,10,1.1588698475575208
29,2015,11,1.1105690784381905
30,2015,12,1.0220925043855185
31,2016,1,0.8169731982615325
32,2016,2,0.7913608293121982
33,2016,3,0.9510568502703813
34,2016,4,1.069818875246741
35,2016,5,1.1459166502816651
36,2016,6,1.1751981985917999
37,2016,7,1.10901204089514
38,2016,8,1.2265835999404853
39,2016,9,1.281397486943509
40,2016,10,1.1447723174153037
41,2016,11,1.0386841331901733
42,2016,12,1.0095019220395764
