,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,54
1,2013,7,758
2,2013,8,1096
3,2013,9,763
4,2013,10,533
5,2013,11,179
6,2013,12,98
7,2014,1,44
8,2014,2,55
9,2014,3,159
10,2014,4,300
11,2014,5,699
12,2014,6,853
13,2014,7,1030
14,2014,8,957
15,2014,9,734
16,2014,10,603
17,2014,11,192
18,2014,12,143
19,2015,1,77
20,2015,2,53
21,2015,3,152
22,2015,4,261
23,2015,5,506
24,2015,6,746
25,2015,7,1033
26,2015,8,735
27,2015,9,673
28,2015,10,569
29,2015,11,276
30,2015,12,189
31,2016,1,119
32,2016,2,150
33,2016,3,209
34,2016,4,229
35,2016,5,466
36,2016,6,751
37,2016,7,860
38,2016,8,703
39,2016,9,669
40,2016,10,678
41,2016,11,349
42,2016,12,127
