,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,2743
1,2013,9,3583
2,2013,10,2976
3,2013,11,1461
4,2013,12,868
5,2014,1,428
6,2014,2,506
7,2014,3,1118
8,2014,4,2602
9,2014,5,4688
10,2014,6,5375
11,2014,7,6000
12,2014,8,6278
13,2014,9,5180
14,2014,10,3922
15,2014,11,1837
16,2014,12,1500
17,2015,1,990
18,2015,2,514
19,2015,3,1718
20,2015,4,2718
21,2015,5,4703
22,2015,6,5723
23,2015,7,7843
24,2015,8,7178
25,2015,9,6030
26,2015,10,4419
27,2015,11,2764
28,2015,12,1765
29,2016,1,1209
30,2016,2,1615
31,2016,3,2441
32,2016,4,3134
33,2016,5,4945
34,2016,6,5966
35,2016,7,6847
36,2016,8,6370
37,2016,9,5702
38,2016,10,4587
39,2016,11,3148
40,2016,12,1332
