,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,1017
1,2013,10,1350
2,2013,11,628
3,2013,12,267
4,2014,1,159
5,2014,2,227
6,2014,3,599
7,2014,4,1403
8,2014,5,2606
9,2014,6,3512
10,2014,7,3961
11,2014,8,3773
12,2014,9,3036
13,2014,10,2229
14,2014,11,787
15,2014,12,659
16,2015,1,418
17,2015,2,217
18,2015,3,933
19,2015,4,1784
20,2015,5,2933
21,2015,6,3201
22,2015,7,3576
23,2015,8,3565
24,2015,9,3332
25,2015,10,2498
26,2015,11,1434
27,2015,12,919
28,2016,1,636
29,2016,2,872
30,2016,3,1505
31,2016,4,1853
32,2016,5,2826
33,2016,6,3641
34,2016,7,3832
35,2016,8,3317
36,2016,9,3268
37,2016,10,2614
38,2016,11,1592
39,2016,12,657
