,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,106
1,2013,7,1130
2,2013,8,1531
3,2013,9,1354
4,2013,10,1102
5,2013,11,570
6,2013,12,307
7,2014,1,239
8,2014,2,285
9,2014,3,407
10,2014,4,904
11,2014,5,1475
12,2014,6,2033
13,2014,7,2067
14,2014,8,2132
15,2014,9,1630
16,2014,10,1421
17,2014,11,774
18,2014,12,587
19,2015,1,383
20,2015,2,232
21,2015,3,737
22,2015,4,1001
23,2015,5,1627
24,2015,6,2076
25,2015,7,2194
26,2015,8,2247
27,2015,9,1838
28,2015,10,1396
29,2015,11,844
30,2015,12,463
31,2016,1,365
32,2016,2,477
33,2016,3,799
34,2016,4,1170
35,2016,5,1774
36,2016,6,2223
37,2016,7,2055
38,2016,8,2106
39,2016,9,1741
40,2016,10,1439
41,2016,11,902
42,2016,12,386
