,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,94
1,2013,9,138
2,2013,10,111
3,2013,11,61
4,2013,12,30
5,2014,1,12
6,2014,2,18
7,2014,3,33
8,2014,4,115
9,2014,5,213
10,2014,6,241
11,2014,7,426
12,2014,8,227
13,2014,9,301
14,2014,10,219
15,2014,11,127
16,2014,12,71
17,2015,1,61
18,2015,2,29
19,2015,3,73
20,2015,4,112
21,2015,5,154
22,2015,6,176
23,2015,7,248
24,2015,8,271
25,2015,9,204
26,2015,10,139
27,2015,11,94
28,2015,12,71
29,2016,1,74
30,2016,2,86
31,2016,3,140
32,2016,4,177
33,2016,5,295
34,2016,6,244
35,2016,7,251
36,2016,8,297
37,2016,9,228
38,2016,10,211
39,2016,11,197
40,2016,12,84
