,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,425
1,2013,9,1336
2,2013,10,1802
3,2013,11,1064
4,2013,12,493
5,2014,1,269
6,2014,2,313
7,2014,3,853
8,2014,4,1896
9,2014,5,3386
10,2014,6,4207
11,2014,7,4506
12,2014,8,4588
13,2014,9,2657
14,2014,10,3119
15,2014,11,1626
16,2014,12,1228
17,2015,1,819
18,2015,2,499
19,2015,3,1362
20,2015,4,2257
21,2015,5,3770
22,2015,6,4439
23,2015,7,5872
24,2015,8,5585
25,2015,9,4813
26,2015,10,3632
27,2015,11,2182
28,2015,12,1351
29,2016,1,988
30,2016,2,1247
31,2016,3,2046
32,2016,4,2507
33,2016,5,3966
34,2016,6,4901
35,2016,7,5076
36,2016,8,4952
37,2016,9,4449
38,2016,10,4125
39,2016,11,2502
40,2016,12,814
