,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,51.13179487179487
1,2013,7,27.596515533165427
2,2013,8,24.267483044461173
3,2013,9,20.47615648955856
4,2013,10,16.04119379844962
5,2013,11,13.094328703703702
6,2013,12,13.463456790123447
7,2014,1,11.994864341085275
8,2014,2,13.555189620758487
9,2014,3,15.044719471947193
10,2014,4,16.145909486510007
11,2014,5,18.12309116149932
12,2014,6,16.63178950194659
13,2014,7,17.976669076886036
14,2014,8,16.298906803468956
15,2014,9,15.756938260611461
16,2014,10,14.09037612742278
17,2014,11,12.524748646558404
18,2014,12,12.254416550441649
19,2015,1,13.188221007893132
20,2015,2,16.816173570019718
21,2015,3,14.979381276320051
22,2015,4,13.54784946236557
23,2015,5,15.709967400163011
24,2015,6,19.57804679679679
25,2015,7,18.68902375765119
26,2015,8,16.488527451602682
27,2015,9,16.343205394190917
28,2015,10,15.049164006687946
29,2015,11,14.907144522144526
30,2015,12,13.007953281423804
31,2016,1,12.095294117647056
32,2016,2,14.701329365079358
33,2016,3,14.354146054181376
34,2016,4,15.299309255970003
35,2016,5,16.6091575091575
36,2016,6,18.420122457451264
37,2016,7,17.587318043774182
38,2016,8,17.342956717256932
39,2016,9,15.847992277992274
40,2016,10,16.105154639175243
41,2016,11,15.443263833199676
42,2016,12,11.744382022471905
