,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,150
1,2013,10,497
2,2013,11,216
3,2013,12,156
4,2014,1,119
5,2014,2,172
6,2014,3,231
7,2014,4,444
8,2014,5,788
9,2014,6,1030
10,2014,7,1197
11,2014,8,1089
12,2014,9,1139
13,2014,10,944
14,2014,11,470
15,2014,12,381
16,2015,1,312
17,2015,2,164
18,2015,3,401
19,2015,4,683
20,2015,5,850
21,2015,6,969
22,2015,7,942
23,2015,8,978
24,2015,9,1268
25,2015,10,1185
26,2015,11,842
27,2015,12,536
28,2016,1,419
29,2016,2,498
30,2016,3,665
31,2016,4,765
32,2016,5,909
33,2016,6,1168
34,2016,7,1189
35,2016,8,1307
36,2016,9,1280
37,2016,10,1233
38,2016,11,1095
39,2016,12,501
